AAPL.O,MSFT.O,AMZN.O,JPM.N,V.N,JNJ.N,WMT.N,BAC.N,BRK_B.N,XOM.N,turnover,transaction_cost,gross_log_return,net_log_return
0.09999700851262158,0.09967041271440796,0.35,9.506664881723676e-20,0.0999962307771942,0.09999998765191397,0.09999209309340844,3.7733952346141977e-20,0.09999998014448891,0.05034428710596499,0.0,0.0,-0.011121626603802037,-0.011121626603802037
0.09999711007021783,0.09967040121284906,0.35,9.507581893858398e-20,0.0999962269966129,0.09999996518684812,0.09999208083905704,3.780352362213087e-20,0.09999995747537854,0.05034425821903653,2.0311519252635976e-07,2.0311519252635977e-10,-0.00763431093340818,-0.007634311136523372
0.09999735736827643,0.09967039360571893,0.35,9.523559944107463e-20,0.09999621188858554,0.09999995537265151,0.09999207368596029,3.837771254337085e-20,0.09999995515084202,0.0503440529279653,4.945961172009302e-07,4.945961172009302e-10,-0.02159339305871321,-0.021593393553309328
0.09999754290037711,0.09967038226188489,0.35,9.522208741576275e-20,0.09999620073272053,0.09999990983126912,0.0999920572422638,3.838746749351849e-20,0.09999991100182562,0.05034399602965893,3.710642013793342e-07,3.710642013793342e-10,0.03484521424078223,0.03484521386971803
0.09999779863287182,0.09967037978851148,0.35,9.538382023723572e-20,0.09999618810798233,0.09999984043397118,0.0999920537448533,3.8598707212993574e-20,0.09999984483955597,0.050343894452253936,5.114649893958605e-07,5.114649893958605e-10,0.01952012066360447,0.01952012015213948
0.09999814097838229,0.09967037826887558,0.35000000000000003,9.524063215242681e-20,0.09999615638288298,0.099999833958155,0.09999205204673903,4.050424473129716e-20,0.09999984569932131,0.05034359266564389,6.864105516341e-07,6.864105516341e-10,0.04111773238853279,0.04111773170212224
0.09999854085526484,0.0996703506326721,0.35,3.1767202941264664e-19,0.09999614735217471,0.09999981965499855,0.09999203349793781,0.0,0.09999982803528622,0.050343279971665864,7.997537651366203e-07,7.997537651366202e-10,0.014551393219173326,0.014551392419419561
0.0999993146739251,0.09967034984569677,0.3499999999999999,3.1785730490674405e-19,0.09999610243737149,0.09999980738547022,0.09999203721565823,2.261893483795941e-22,0.09999978437589148,0.05034260406598662,1.5550727616026054e-06,1.5550727616026053e-09,0.003393924436241618,0.0033939228811688564
0.09999987475537613,0.0996703483826674,0.35,3.178807068341985e-19,0.09999603951695189,0.09999980723240298,0.09999202898352483,2.3266420284874332e-21,0.0999997807040452,0.05034212042503164,1.1201629019491642e-06,1.1201629019491641e-09,-0.0045261937991705956,-0.004526194919333497
0.10000040403270591,0.09967033631120534,0.35,3.175243473979531e-19,0.09999598821792544,0.09999971186804804,0.09999202125500777,2.569681494618485e-21,0.09999976886105895,0.05034176945404863,1.0585546595665023e-06,1.0585546595665023e-09,-0.01281355297116197,-0.012813554029716628
0.10000088727583419,0.09967033301860748,0.35,3.173178060841886e-19,0.09999593958212054,0.09999961261777011,0.09999201350098809,4.277951903886566e-21,0.09999975216546955,0.050341461839210074,9.664862565886298e-07,9.664862565886297e-10,-0.018315364673799885,-0.01831536564028614
